,UNDERWRITING_YEAR,TYPE_OF_COVER,PAYMENT_METHOD,SUM_INSURED,COMPANY_LOADINGS,COMMISION_RATE,LOADINGS,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,TRANSACTION_TYPE,AGENT_CONTRACT_CATEGORY,CLIENT_GENDER,CLIENT_MARITAL_STATUS,CLIENT_OCCUPATION,CLIENT_POLITICAL_PERSON_FLAG,HIGH_RISK_FLAG,CLIENT_NUMBER_OF_DEPENDENTS,CLIENT_SMOKER_FLAG,CLIENT_FAMILY_SIZE,ORIGINAL_UNDERWRITING_YEAR,POLICY_TERM,INSURED_TYPE,RENEWAL_TYPE,CO_INSURANCE,BODILY_INJURY_LIMIT,VEHICLE_MAKE,VEHICLE_YEAR,ADDITIONAL_PERILS,FOREIGN_USED,CUBIC_CENTIMETERS,VEHICLE_MODIFIED,SEATING_CAPACITY,ANTI_THEFT_DEVICE,LEFT_HAND_DRIVE,OPEN_RESTRICTED_FLAG,PA_COVERAGE,PA_DRIVER_INCLUDED,MOTOR_ASSIST,VEHICLE_CONDITION,PREMIUM_CHARGED,HAS_CLAIMED_IN_NEXT_12_MONTHS,CLIENT_CLASS,FLAG_VEHICLE_CONDITION,VEHICLE_AGE,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,FLAG_VEHICLE_TYPE_ON_SEATING_CAPACITY,POLICY_HISTORY_AGE
23,2019,Comp,Cash,64296.95,0.35,0.1,0.17,0.05,0.32,Renewal,Cash Salesmen,M,M,Driver for Uber,N,N,3,N,5,2018,12,Individual,Manual Review Required,Y,210000,Chevrolet,1999,Special Perils,N,1398,Y,2,Y,Y,O,N,N,Y,Second Hand,9457.70842269,0,EXPERIENCED,OLD,20,0,MICRO,1
27,2019,Comp,Cash,161269.0,0.3,0.0,0.11,0.26,0.19,Endorsement - decrease in coverage,Direct,F,D,Business executive,N,N,2,N,4,2019,12,Individual,Renewal,Y,147000,Volkswagen,2012,Special Perils,N,1399,Y,6,N,N,O,N,N,Y,New,16926.2419077643,1,EXPERIENCED,NEW,7,0,SUV,0
29,2018,Comp,Cash,82863.0,0.3,0.15,0.06,0.36,0.45,Endorsement - increase in coverage,Broker,M,L,Business executive,Y,Y,3,N,2,2018,12,Individual,Renewal,Y,225000,Dodge,2003,Riot & Special Perils,N,1437,Y,5,Y,N,O,N,N,Y,New,6168.21636744762,1,EXPERIENCED,OLD,15,0,COMPACT,0
30,2019,Comp,Cash,78719.85,0.35,0.15,0.16,0.05,0.45,Renewal,Broker,M,L,Business executive,Y,Y,3,N,2,2018,12,Individual,Renewal,Y,225000,Dodge,2003,Riot & Special Perils,N,1437,Y,5,Y,N,O,N,N,Y,New,9707.57748998654,0,EXPERIENCED,OLD,16,0,COMPACT,1
31,2018,Comp,Online payment,155322.0,0.3,0.0,0.09,0.19,0.27,Endorsement - increase in coverage,Assumed Business,M,M,Clerical assistant,N,Y,2,N,4,2018,12,Corporate,Renewal,Y,143000,Dodge,2006,No Additional Perils,N,1496,Y,4,N,N,O,N,N,Y,Second Hand,17128.5825107571,1,EXPERIENCED,OLD,12,0,COMPACT,0
32,2019,Comp,Online payment,147555.9,0.35,0.0,0.19,0.05,0.27,Renewal,Assumed Business,M,M,Clerical assistant,N,Y,2,N,4,2018,12,Corporate,Renewal,Y,143000,Dodge,2006,No Additional Perils,N,1496,Y,4,N,N,O,N,N,Y,Second Hand,21544.4042746962,0,EXPERIENCED,OLD,13,0,COMPACT,1
33,2018,Comp,Online payment,75143.0,0.3,0.0,0.08,0.28,0.19,Upgraded Policy,Assumed Business,F,L,Secretary,N,N,3,N,3,2018,12,Individual,Renewal,N,13000,Audi,2009,Riot & Special Perils,N,1814,Y,6,Y,N,O,N,N,N,Second Hand,5647.33343415086,1,EXPERIENCED,NEW,9,0,SUV,0
34,2019,Comp,Online payment,71385.85,0.35,0.0,0.18,0.05,0.19,Renewal,Assumed Business,F,L,Secretary,N,N,3,N,3,2018,12,Individual,Renewal,N,13000,Audi,2009,Riot & Special Perils,N,1814,Y,6,Y,N,O,N,N,N,Second Hand,11467.9885395808,0,EXPERIENCED,NEW,10,0,SUV,1
37,2019,Comp,Debit Card,63566.4,0.35,0.1,0.19,0.05,0.22,Renewal,Cash Salesmen,F,S,Lawyer,N,Y,2,N,2,2019,6,Corporate,Renewal,Y,183000,Dodge,1997,Special Perils,N,1008,Y,2,Y,Y,O,N,Y,Y,Second Hand,13151.37327216,1,EXPERIENCED,OLD,22,0,MICRO,0
38,2018,Comp,Credit Card,127984.0,0.3,0.15,0.09,0.28,0.23,Upgraded Policy,Broker,F,S,Business executive,N,Y,5,N,5,2018,12,Individual,Renewal,Y,49000,Mazda,1998,Riot & Srike,N,1506,Y,4,Y,N,R,N,N,Y,New,6546.060616128,1,EXPERIENCED,OLD,20,0,COMPACT,0
39,2019,Comp,Credit Card,121584.8,0.35,0.15,0.19,0.05,0.23,Renewal,Broker,F,S,Business executive,N,Y,5,N,5,2018,12,Individual,Renewal,Y,49000,Mazda,1998,Riot & Srike,N,1506,Y,4,Y,N,R,N,N,Y,New,21533.9103493123,0,EXPERIENCED,OLD,21,0,COMPACT,1
41,2019,Comp,Cash,58280.0,0.3,0.0,0.09,0.21,0.18,Policy Upgrade,Assumed Business,M,D,Rideshare driver,N,N,2,N,5,2019,12,Individual,Renewal,Y,72000,MINI,2008,No Additional Perils,N,1030,Y,2,N,Y,O,N,N,Y,Second Hand,4213.14251447619,1,EXPERIENCED,OLD,12,0,MICRO,0
45,2018,Comp,Online payment,121515.0,0.3,0.15,0.08,0.2,0.28,Upgraded Policy,Broker,F,D,Sales Person,N,N,2,N,2,2018,12,Individual,Renewal,Y,135000,Lexus,2011,Riot & Srike,N,1571,Y,3,N,N,R,N,N,N,Second Hand,5417.65531234286,1,YOUNG,NEW,7,0,COMPACT,0
46,2019,Comp,Online payment,115439.25,0.35,0.15,0.18,0.05,0.28,Renewal,Broker,F,D,Sales Person,N,N,2,N,2,2018,12,Individual,Renewal,Y,135000,Lexus,2011,Riot & Srike,N,1571,Y,3,N,N,R,N,N,N,Second Hand,18957.1885485923,0,YOUNG,NEW,8,0,COMPACT,1
47,2019,Comp,Online payment,83211.0,0.3,0.0,0.12,0.32,0.27,Endorsement - decrease in coverage,Assumed Business,F,S,Govt. Officer,N,N,1,N,5,2019,12,Individual,No renewal - Report,Y,49000,Oldsmobile,1995,No Additional Perils,N,1915,Y,4,N,N,R,N,Y,N,New,7258.53818026667,1,EXPERIENCED,OLD,24,0,COMPACT,0
50,2018,Comp,Credit Card,59141.0,0.3,0.15,0.09,0.29,0.28,Endorsement - increase in coverage,Broker,M,M,Sales Person,N,N,2,N,4,2018,12,Individual,Manual Review Required,Y,123000,GMC,2003,Riot & Srike,N,1778,Y,3,Y,N,O,N,N,N,New,6364.46022343714,1,EXPERIENCED,OLD,15,0,COMPACT,0
51,2019,Comp,Credit Card,56183.95,0.35,0.15,0.19,0.05,0.28,Renewal,Broker,M,M,Sales Person,N,N,2,N,4,2018,12,Individual,Manual Review Required,Y,123000,GMC,2003,Riot & Srike,N,1778,Y,3,Y,N,O,N,N,N,New,9304.59889281461,0,EXPERIENCED,OLD,16,0,COMPACT,1
52,2018,Comp,Cash,47924.0,0.3,0.15,0.12,0.22,0.34,Upgraded Policy,Broker,F,L,Doctor,Y,N,2,N,4,2018,12,Individual,Manual Review Required,Y,220000,Lotus,1996,Special Perils,N,1590,Y,4,N,N,R,N,N,N,New,3416.4576303,1,YOUNG,OLD,22,0,COMPACT,0
53,2019,Comp,Cash,45527.8,0.35,0.15,0.22,0.05,0.34,Renewal,Broker,F,L,Doctor,Y,N,2,N,4,2018,12,Individual,Manual Review Required,Y,220000,Lotus,1996,Special Perils,N,1590,Y,4,N,N,R,N,N,N,New,7085.75872716461,0,EXPERIENCED,OLD,23,0,COMPACT,1
54,2019,Comp,Cash,107220.0,0.3,0.0,0.08,0.3,0.26,Endorsement - increase in coverage,Assumed Business,F,D,Business executive,N,N,5,N,5,2019,12,Individual,Renewal,Y,98000,Infiniti,2006,Riot & Srike,N,1322,Y,2,Y,Y,O,N,Y,N,Second Hand,10881.723384,1,EXPERIENCED,OLD,14,0,MICRO,0
55,2019,Comp,Credit Card,84677.0,0.3,0.0,0.08,0.19,0.27,Policy Upgrade,Direct,M,M,Software Professional,N,Y,2,N,5,2019,12,Individual,Renewal,Y,231000,Scion,2013,Special Perils,N,1876,Y,2,Y,N,O,N,N,N,New,6791.57140570714,1,EXPERIENCED,NEW,6,0,MICRO,0
58,2019,Comp,Credit Card,44625.3,0.35,0.1,0.22,0.05,0.27,Renewal,Cash Salesmen,F,L,Govt. Officer,N,Y,1,N,4,2019,6,Individual,No renewal - Report,Y,110000,Nissan,2012,No Additional Perils,N,1274,Y,6,N,N,O,Y,N,Y,New,13176.2644198844,1,EXPERIENCED,NEW,7,0,SUV,0
59,2018,Comp,Debit Card,86575.0,0.3,0.15,0.12,0.31,0.29,Upgraded Policy,Broker,F,L,Sales Person,N,N,2,N,4,2018,12,Corporate,Manual Review Required,Y,150000,Dodge,2002,Fire Expl Thft/Brand Expl Dief,N,1590,Y,4,Y,N,O,N,N,Y,Second Hand,4632.81743801875,1,EXPERIENCED,OLD,16,0,COMPACT,0
60,2019,Comp,Debit Card,82246.25,0.35,0.15,0.22,0.05,0.29,Renewal,Broker,F,L,Sales Person,N,N,2,N,4,2018,12,Corporate,Manual Review Required,Y,150000,Dodge,2002,Fire Expl Thft/Brand Expl Dief,N,1590,Y,4,Y,N,O,N,N,Y,Second Hand,13770.1989286394,0,EXPERIENCED,OLD,17,0,COMPACT,1
61,2019,Comp,Debit Card,88801.0,0.3,0.15,0.1,0.23,0.35,Upgraded Policy,Broker,M,L,Education Professional,N,N,2,N,4,2019,12,Individual,Renewal,Y,176000,Mazda,2010,Special Perils,N,1892,Y,6,Y,N,R,N,Y,Y,Second Hand,6685.88871069167,1,EXPERIENCED,NEW,10,0,SUV,0
63,2018,Comp,Cash,115390.0,0.3,0.15,0.05,0.25,0.35,Endorsement - decrease in coverage,Broker,M,S,Software Professional,N,N,1,N,3,2018,12,Individual,Renewal,Y,40000,Audi,2003,No Additional Perils,N,1082,Y,3,Y,N,R,N,N,N,New,10864.3974257813,1,EXPERIENCED,OLD,15,0,COMPACT,0
64,2019,Comp,Cash,109620.5,0.35,0.15,0.15,0.05,0.35,Renewal,Broker,M,S,Software Professional,N,N,1,N,3,2018,12,Individual,Renewal,Y,40000,Audi,2003,No Additional Perils,N,1082,Y,3,Y,N,R,N,N,N,New,15838.3124040625,0,EXPERIENCED,OLD,16,0,COMPACT,1
65,2019,Comp,Debit Card,99334.0,0.3,0.1,0.11,0.19,0.27,Endorsement - decrease in coverage,Cash Salesmen,M,L,Sales Person,Y,N,1,Y,3,2019,12,Corporate,Renewal,Y,199000,Volkswagen,2004,Special Perils,N,1428,Y,6,Y,Y,O,N,N,N,New,10905.92436879,1,EXPERIENCED,OLD,15,0,SUV,0
68,2019,Comp,Debit Card,98375.0,0.3,0.15,0.08,0.28,0.33,Policy Upgrade,Broker,M,S,Driver for Uber,N,N,1,N,5,2019,12,Individual,Manual Review Required,Y,22000,Honda,2001,Special Perils,N,1811,Y,6,Y,Y,O,N,Y,Y,New,7858.73016,1,EXPERIENCED,OLD,18,0,SUV,0
71,2019,Comp,Cash,94197.0,0.3,0.1,0.09,0.3,0.32,Endorsement - increase in coverage,Cash Salesmen,M,L,Software Professional,N,Y,4,Y,4,2019,12,Individual,Renewal,Y,233000,Chevrolet,2002,No Additional Perils,N,1015,Y,4,N,N,O,N,Y,N,Second Hand,9029.47230405,1,EXPERIENCED,OLD,17,0,COMPACT,0
75,2019,Comp,Online payment,117073.0,0.3,0.15,0.11,0.35,0.32,Upgraded Policy,Broker,M,M,Driver for Uber,N,N,2,N,2,2019,12,Corporate,No Renewal - Don't Report,Y,126000,Toyota,2001,Special Perils,N,1745,Y,5,N,N,O,Y,Y,Y,New,4855.01948421286,1,EXPERIENCED,OLD,18,0,COMPACT,0
79,2019,Comp,Cash,68849.0,0.3,0.15,0.08,0.28,0.31,Endorsement - decrease in coverage,Broker,F,D,Sales Person,N,N,1,N,6,2019,12,Corporate,Renewal,Y,125000,Nissan,2005,Special Perils,N,1044,N,4,N,N,O,N,N,N,New,6882.10962006857,1,EXPERIENCED,OLD,14,0,COMPACT,0
82,2019,Comp,Debit Card,79708.0,0.3,0.0,0.07,0.27,0.14,Upgraded Policy,Assumed Business,M,L,Lawyer,N,Y,2,N,3,2019,12,Individual,Renewal,Y,72000,Mercedes-Benz,2010,Special Perils,N,1251,Y,3,Y,N,O,N,N,Y,New,5788.24743377667,1,EXPERIENCED,NEW,9,0,COMPACT,0
86,2019,Comp,Credit Card,156461.0,0.3,0.15,0.1,0.19,0.24,Endorsement - decrease in coverage,Broker,F,L,Driver for Uber,N,N,2,N,4,2019,12,Individual,Renewal,Y,242000,GMC,1997,Riot & Special Perils,N,1198,Y,4,Y,N,O,Y,N,N,Second Hand,18741.0513807,1,EXPERIENCED,OLD,22,0,COMPACT,0
89,2019,Comp,Credit Card,119527.0,0.3,0.15,0.12,0.23,0.29,Endorsement - increase in coverage,Broker,F,S,Rideshare driver,N,N,3,N,3,2019,12,Individual,Renewal,Y,92000,Nissan,1995,Fire Expl Thft/Brand Expl Dief,N,1416,Y,5,N,N,O,N,N,Y,Second Hand,15164.0611450533,1,EXPERIENCED,OLD,24,0,COMPACT,0
92,2019,Comp,Debit Card,75775.0,0.3,0.15,0.1,0.3,0.2,Upgraded Policy,Broker,F,M,Sales Person,N,N,5,N,4,2019,12,Individual,Manual Review Required,Y,235000,MINI,2009,Special Perils,N,1050,Y,5,Y,N,O,Y,N,N,New,5165.7333,1,YOUNG,NEW,10,0,COMPACT,0
96,2019,Comp,Cash,112102.0,0.3,0.0,0.08,0.28,0.29,Policy Upgrade,Assumed Business,M,D,Sales Person,N,N,4,N,5,2019,12,Corporate,Renewal,Y,200000,Lincoln,2012,Fire Expl Thft/Brand Expl Dief,N,1798,Y,3,N,N,R,N,N,Y,New,7294.30418262857,1,EXPERIENCED,NEW,7,0,COMPACT,0
99,2019,Comp,Cash,137808.0,0.3,0.15,0.11,0.27,0.36,Policy Upgrade,Broker,F,S,Business executive,N,N,1,N,4,2019,12,Individual,Renewal,Y,44000,Toyota,2009,Fire Expl Thft/Brand Expl Dief,N,1342,Y,4,N,N,R,Y,N,N,New,8414.28558884572,1,YOUNG,NEW,10,0,COMPACT,0
102,2019,Comp,Online payment,112963.0,0.3,0.15,0.11,0.25,0.35,Endorsement - decrease in coverage,Broker,F,D,Driver for Uber,N,N,1,N,6,2019,12,Individual,Renewal,Y,112000,Kia,2006,Riot & Special Perils,N,1421,Y,5,Y,N,O,N,N,Y,New,10396.3601651116,1,EXPERIENCED,OLD,13,0,COMPACT,0
105,2019,Comp,Cash,63139.0,0.3,0.15,0.12,0.22,0.28,Upgraded Policy,Broker,F,M,Driver for Uber,N,N,1,N,3,2019,12,Individual,Renewal,Y,105000,GMC,2004,Special Perils,N,1666,Y,6,N,N,O,N,N,Y,Second Hand,3873.201089004,1,EXPERIENCED,OLD,15,0,SUV,0
109,2018,Comp,Credit Card,98181.0,0.3,0.15,0.12,0.21,0.3,Endorsement - increase in coverage,Broker,M,D,Driver for Uber,N,N,1,Y,6,2018,12,Individual,Renewal,Y,79000,Lexus,2005,No Additional Perils,N,1629,Y,2,Y,N,O,N,N,N,New,11970.4970252,1,EXPERIENCED,OLD,13,0,MICRO,0
110,2019,Comp,Credit Card,93271.95,0.35,0.15,0.22,0.05,0.3,Renewal,Broker,M,D,Driver for Uber,N,N,1,Y,6,2018,12,Individual,Renewal,Y,79000,Lexus,2005,No Additional Perils,N,1629,Y,2,Y,N,O,N,N,N,New,15396.2465290442,0,EXPERIENCED,OLD,14,0,MICRO,1
113,2019,Comp,Credit Card,103778.0,0.3,0.0,0.08,0.33,0.24,Endorsement - increase in coverage,Assumed Business,F,S,Business executive,N,N,2,Y,4,2019,12,Individual,Renewal,Y,27000,Buick,2006,Riot & Srike,N,1315,Y,4,Y,N,O,N,N,Y,New,9633.66100457143,1,EXPERIENCED,OLD,13,0,COMPACT,0
117,2019,Comp,Credit Card,134236.0,0.3,0.0,0.08,0.32,0.25,Policy Upgrade,Direct,M,M,Secretary,N,Y,2,Y,4,2019,12,Individual,Renewal,Y,162000,Chevrolet,1984,Riot & Srike,N,1162,Y,2,Y,N,O,N,N,Y,New,9858.29184,1,EXPERIENCED,OLD,35,0,MICRO,0
120,2019,Comp,Debit Card,157516.0,0.3,0.1,0.14,0.31,0.25,Endorsement - decrease in coverage,Cash Salesmen,M,S,Driver for Uber,N,N,2,N,5,2019,12,Individual,Renewal,Y,80000,Panoz,2006,No Additional Perils,N,1780,Y,6,Y,N,O,Y,N,N,New,15301.7213721429,1,EXPERIENCED,OLD,13,0,SUV,0
123,2019,Comp,Credit Card,67338.0,0.3,0.15,0.08,0.2,0.31,Upgraded Policy,Broker,F,M,Clerical assistant,N,N,1,N,6,2019,12,Individual,Renewal,Y,51000,Suzuki,1999,Special Perils,N,1210,Y,4,Y,N,O,N,N,N,New,4969.241379,1,YOUNG,OLD,20,0,COMPACT,0
125,2018,Comp,Online payment,109767.0,0.3,0.1,0.09,0.28,0.18,Policy Upgrade,Cash Salesmen,M,M,Software Professional,N,N,1,N,3,2018,12,Individual,Renewal,Y,67000,Mazda,2002,No Additional Perils,Y,1957,Y,2,Y,N,O,N,Y,Y,Foreign Used,7354.02614166,1,EXPERIENCED,OLD,16,0,MICRO,0
126,2019,Comp,Online payment,104278.65,0.35,0.1,0.19,0.05,0.18,Renewal,Cash Salesmen,M,M,Software Professional,N,N,1,N,3,2018,12,Individual,Renewal,Y,67000,Mazda,2002,No Additional Perils,Y,1957,Y,2,Y,N,O,N,Y,Y,Foreign Used,18812.9537601035,0,EXPERIENCED,OLD,17,0,MICRO,1
129,2019,Comp,Credit Card,126063.0,0.3,0.0,0.1,0.35,0.37,Endorsement - decrease in coverage,Assumed Business,F,S,Driver for Uber,N,Y,2,Y,4,2019,12,Individual,Renewal,Y,217000,Chevrolet,2006,No Additional Perils,N,1586,N,6,N,Y,O,N,N,Y,New,8818.72992,1,EXPERIENCED,OLD,13,0,SUV,0
132,2018,Comp,Cash,108285.0,0.3,0.0,0.09,0.27,0.29,Policy Upgrade,Direct,M,L,Driver for Uber,N,N,2,Y,4,2018,12,Individual,Renewal,Y,55000,Chevrolet,2009,Special Perils,N,1790,Y,4,N,N,O,N,Y,Y,Second Hand,7209.94440905357,1,EXPERIENCED,NEW,9,0,COMPACT,0
133,2019,Comp,Cash,102870.75,0.35,0.0,0.19,0.05,0.29,Renewal,Direct,M,L,Driver for Uber,N,N,2,Y,4,2018,12,Individual,Renewal,Y,55000,Chevrolet,2009,Special Perils,N,1790,Y,4,N,N,O,N,Y,Y,Second Hand,14608.4892488365,0,EXPERIENCED,NEW,10,0,COMPACT,1
138,2018,Comp,Online payment,47949.0,0.3,0.0,0.12,0.33,0.2,Upgraded Policy,Assumed Business,M,D,Driver for Uber,N,N,5,Y,6,2018,12,Individual,No Renewal - Don't Report,Y,110000,Mitsubishi,2003,Fire Expl Thft/Brand Expl Dief,N,1967,Y,3,Y,N,O,N,N,Y,Second Hand,3432.40934608,1,EXPERIENCED,OLD,15,0,COMPACT,0
139,2019,Comp,Online payment,45551.55,0.35,0.0,0.22,0.05,0.2,Renewal,Assumed Business,M,D,Driver for Uber,N,N,5,Y,6,2018,12,Individual,No Renewal - Don't Report,Y,110000,Mitsubishi,2003,Fire Expl Thft/Brand Expl Dief,N,1967,Y,3,Y,N,O,N,N,Y,Second Hand,7472.41642061538,0,EXPERIENCED,OLD,16,0,COMPACT,1
142,2019,Comp,Online payment,125075.0,0.3,0.1,0.09,0.3,0.28,Upgraded Policy,Cash Salesmen,M,M,Business executive,N,N,5,N,4,2019,12,Corporate,Renewal,Y,22000,Volvo,2000,Riot & Special Perils,N,1730,Y,6,Y,Y,O,N,Y,Y,New,4724.503002,1,YOUNG,OLD,19,0,SUV,0
145,2018,Comp,Online payment,100777.0,0.3,0.1,0.05,0.19,0.28,Endorsement - increase in coverage,Cash Salesmen,F,M,Education Professional,N,N,2,Y,4,2018,12,Individual,Manual Review Required,Y,132000,Volvo,2003,Special Perils,N,1680,Y,4,Y,N,R,N,N,Y,New,12021.788097,1,EXPERIENCED,OLD,16,0,COMPACT,0
148,2018,Comp,Credit Card,82046.0,0.3,0.15,0.11,0.26,0.25,Upgraded Policy,Broker,F,M,Education Professional,N,N,4,Y,3,2018,12,Individual,Manual Review Required,Y,248000,Volkswagen,1997,No Additional Perils,N,1967,Y,6,N,N,O,N,N,Y,New,3612.68324271964,1,EXPERIENCED,OLD,21,0,SUV,0
149,2019,Comp,Credit Card,77943.7,0.35,0.15,0.21,0.05,0.25,Renewal,Broker,F,M,Education Professional,N,N,4,Y,3,2018,12,Individual,Manual Review Required,Y,248000,Volkswagen,1997,No Additional Perils,N,1967,Y,6,N,N,O,N,N,Y,New,13672.048207601,0,EXPERIENCED,OLD,22,0,SUV,1
155,2019,Comp,Debit Card,102963.0,0.3,0.0,0.1,0.25,0.25,Endorsement - decrease in coverage,Assumed Business,F,L,Waiter,N,Y,1,N,5,2019,12,Individual,Renewal,Y,233000,Audi,2011,Special Perils,N,1748,Y,3,Y,N,R,N,N,Y,New,10333.0564955357,1,YOUNG,NEW,9,0,COMPACT,0
156,2019,Comp,Credit Card,80197.0,0.3,0.0,0.09,0.23,0.37,Upgraded Policy,Direct,M,L,Lawyer,N,N,4,N,4,2019,12,Individual,Renewal,Y,27000,Isuzu,2004,No Additional Perils,N,1089,Y,3,N,N,R,N,N,N,New,5058.926926053,1,EXPERIENCED,OLD,15,0,COMPACT,0
158,2018,Comp,Cash,50204.0,0.3,0.0,0.09,0.3,0.38,Endorsement - increase in coverage,Direct,F,S,Secretary,N,N,1,N,4,2018,12,Individual,Renewal,Y,219000,Ford,2002,Riot & Special Perils,N,1193,Y,6,N,N,O,N,N,Y,New,4035.377508,1,EXPERIENCED,OLD,16,0,SUV,0
